card_id,card_number,name,set_code,set_name,card_type,rarity,color_1,color_2,image_url,artist,life,hp,stage,support_type,is_limited,effect_text
117,hBP01-117,Friend,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-117_C.png,JinArt こばやかわやまと,,,,Mascot,FALSE,"""The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to 〈Nanashi Mumei〉
During your opponent's turn, if the holomem this mascot is attached to would take Damage, you may archive this mascot:The holomem this mascot was attached to takes -30 Damage.

Only 1 mascot can be attached to each of your holomem."""
118,hBP01-118,Ankimo,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-118_C.png,JinArt こばやかわやまと,,,,Mascot,FALSE,"""The holomem this mascot is attached to gets +10 HP.

◆Additional ability if attached to 〈Tokino Sora〉
If the holomem this mascot is attached to would use Arts, this mascot is also regarded as a white cheer.

Only 1 mascot can be attached to each of your holomem."""
119,hBP01-119,Jobs,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-119_C.png,JinArt KABAKURA,,,,Mascot,FALSE,"""The holomem this mascot is attached to gets +10 HP.

◆Additional ability if attached to 〈Aki Rosenthal〉
When the holomem this mascot is attached to uses Arts, restore 10 HP to 1 of your holomem.

Only 1 mascot can be attached to each of your holomem."""
120,hBP01-120,Ganmo,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-120_C.png,JinArt KABAKURA,,,,Mascot,FALSE,"""The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to 〈Takane Lui〉
When the holomem this mascot is attached to uses Arts in the Center Position, draw 1 card from your deck.

Only 1 mascot can be attached to each of your holomem."""
121,hBP01-121,Kotori,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-121_C.png,JinArt こばやかわやまと,,,,Mascot,FALSE,"""The holomem this mascot is attached to in the Center Position or Collab Position takes -10 Damage.

◆Additional ability if attached to 〈Takanashi Kiara〉
When the Bloom level of the holomem this mascot is attached to increases, draw 1 card from your deck.

Only 1 mascot can be attached to each of your holomem."""
122,hBP01-122,Rose Knights,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-122_C.png,JinArt KABAKURA,,,,Fan,FALSE,"""During your opponent's turn, if the holomem this fan is attached to is downed, send the top card of your cheer deck to your 〈Aki Rosenthal〉.

You may only attach this fan to your 〈Aki Rosenthal〉, and you may attach any number of this fan per holomem."""
123,hBP01-123,Wild Rabbit Alliance,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-123_C.png,JinArt こばやかわやまと,,,,Fan,FALSE,"""If the holomem this fan is attached to rolled a die by an ability, you may archive this fan:Ignore the previous results, and reroll the die.

You may only attach this fan to your 〈Usada Pekora〉, and you may attach any number of this fan per holomem."""
124,hBP01-124,Pioneers,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-124_C.png,JinArt こばやかわやまと,,,,Fan,FALSE,"""During your opponent's turn, if the holomem this fan is attached to is downed, reattach 1 cheer from the holomem this fan is attached to to your other holomem.

You may only attach this fan to your 〈AZKi〉, and you may attach any number of this fan per holomem."""
125,hBP01-125,KFP,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-125_C.png,JinArt こばやかわやまと,,,,Fan,FALSE,"""When this fan is attached from hand to a holomem, you may archive 1 card from your hand:Draw 1 card from your deck.

You may only attach this fan to your 〈Takanashi Kiara〉, and you may attach any number of this fan per holomem."""
126,hBP01-126,Troupe Member,hBP01,Blooming Radiance,Support,C,,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-126_C.png,JinArt KABAKURA,,,,Fan,FALSE,"""■If the holomem this fan is attached to would use Arts, this fan is also regarded as a red cheer.
■The holomem this fan is attached to takes +10 Damage.

You may only attach this fan to your 〈Omaru Polka〉, and you may attach any number of this fan per holomem."""
127,hY01-001,White Cheer,hY01,Blooming Radiance,Cheer,C,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hY01/EN_hY01-001_C.png,はずき,,,,,,"""■If a holomem leaves the stage, archive all of that holomem's cheers.
■If a holomem Baton Passes, archive the specified number of that holomem's cheers."""
128,hY02-001,Green Cheer,hBP01,Blooming Radiance,Cheer,C,Green,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hY02-001_C.png,はずき,,,,,,"""■If a holomem leaves the stage, archive all of that holomem's cheers.
■If a holomem Baton Passes, archive the specified number of that holomem's cheers."""
129,hY03-001,Red Cheer,hBP01,Blooming Radiance,Cheer,C,Red,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hY03-001_C.png,はずき,,,,,,"""■If a holomem leaves the stage, archive all of that holomem's cheers.
■If a holomem Baton Passes, archive the specified number of that holomem's cheers."""
130,hY04-001,Blue Cheer,hBP01,Blooming Radiance,Cheer,C,Blue,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hY04-001_C.png,はずき,,,,,,"""■If a holomem leaves the stage, archive all of that holomem's cheers.
■If a holomem Baton Passes, archive the specified number of that holomem's cheers."""
